"Station","carspaces","crscode"
"ARLESEY",101,"ARL"
"ASHWELL & MORDEN",29,"AWM"
"BALDOCK",75,"BDK"
"BAYFORD",50,"BAY"
"BIGGLESWADE",85,"BIW"
"BROOKMANS PARK",69,"BPK"
"CREWS HILL",15,"CWH"
"CUFFLEY",276,"CUF"
"DOWNHAM MARKET",118,"DOW"
"GORDON HILL",67,"GDH"
"GRANGE PARK",41,"GPK"
"HATFIELD (HERTS)",374,"HAT"
"HERTFORD NORTH",124,"HFN"
"HITCHIN",269,"HIT"
"HUNTINGDON",952,"HUN"
"KINGS LYNN",136,"KLN"
"KNEBWORTH",50,"KBW"
"LITTLEPORT",45,"LTP"
"MELDRETH",45,"MEL"
"NEW BARNET",109,"NBA"
"NEW SOUTHGATE",8,"NSG"
"PALMERS GREEN",60,"PAL"
"POTTERS BAR",276,"PBR"
"ROYSTON",519,"RYS"
"SANDY",149,"SDY"
"ST NEOTS",498,"SNO"
"WATERBEACH",82,"WBC"
"WATLINGTON",40,"WTG"
"WELHAM GREEN",35,"WMG"
"WELWYN NORTH",253,"WLW"
